Altitude [m],Time [s],,,,
2090.16,68.149,,,,
2090.16,68.231,,,,
2088.96,68.312,,,,
2087.68,68.393,,,,
2087.69,68.474,,,,
2087.54,68.555,,,,
2087.81,68.639,,,,
2087.27,68.72,,,,
2087.18,68.801,,,,
2087.13,68.883,,,,
2087.37,68.964,,,,
2086.65,69.045,,,,
2086.59,69.134,,,,
2086.38,69.215,,,,
2086.38,69.299,,,,
2085.9,69.38,,,,
2085.85,69.46,,,,
2085.83,69.542,,,,
2085.68,69.623,,,,
2085.53,69.704,,,,
2085.53,69.785,,,,
2085.44,69.866,,,,
2085.23,69.948,,,,
2085.03,70.027,,,,
2084.72,70.108,,,,
2084.51,70.189,,,,
2084.51,70.269,,,,
2084.34,70.351,,,,
2084.29,70.439,,,,
2084.3,70.52,,,,
2083.77,70.602,,,,
2083.65,70.685,,,,
2083.72,70.767,,,,
2083.72,70.848,,,,
2083.38,70.929,,,,
2083.14,71.01,,,,
2082.85,71.092,,,,
2082.57,71.173,,,,
2082.27,71.254,,,,
2082.27,71.337,,,,
2082.08,71.418,,,,
2082.43,71.499,,,,
2082.13,71.581,,,,
2081.84,71.669,,,,
2081.73,71.75,,,,
2081.73,71.832,,,,
2081.47,71.913,,,,
2081.07,71.997,,,,
2081.11,72.078,,,,
2080.91,72.159,,,,
2080.79,72.241,,,,
2080.79,72.322,,,,
2080.28,72.402,,,,
2080.29,72.484,,,,
2079.77,72.565,,,,
2079.71,72.649,,,,
2079.56,72.73,,,,
2079.51,72.811,,,,
2079.51,72.9,,,,
2079.12,72.981,,,,
2078.94,73.062,,,,
2078.84,73.144,,,,
2078.87,73.225,,,,
2078.51,73.309,,,,
2078.51,73.39,,,,
2078.33,73.47,,,,
2078.42,73.552,,,,
2077.95,73.633,,,,
2078.07,73.714,,,,
2077.98,73.795,,,,
2077.98,73.877,,,,
2077.56,73.958,,,,
2077.76,74.042,,,,
2077.36,74.123,,,,
2077.37,74.204,,,,
2077.09,74.285,,,,
2077.09,74.366,,,,
2077.03,74.447,,,,
2076.69,74.528,,,,
2076.39,74.609,,,,
2076.35,74.693,,,,
2076.41,74.775,,,,
2076.25,74.856,,,,
2076.19,74.937,,,,
2075.78,75.018,,,,
2075.63,75.1,,,,
2075.44,75.181,,,,
2075.32,75.261,,,,
2074.98,75.345,,,,
2074.98,75.426,,,,
2074.83,75.508,,,,
2074.52,75.589,,,,
2074.99,75.67,,,,
2074.52,75.751,,,,
2074.46,75.833,,,,
2074.46,75.914,,,,
2074.55,75.997,,,,
2074.59,76.079,,,,
2074.41,76.16,,,,
2074.16,76.24,,,,
2074.18,76.321,,,,
2074.18,76.403,,,,
2074.15,76.484,,,,
2073.97,76.565,,,,
2073.67,76.649,,,,
2073.66,76.73,,,,
2073.33,76.811,,,,
2073.33,76.893,,,,
2073.24,76.974,,,,
2073.29,77.054,,,,
2072.94,77.136,,,,
2072.82,77.217,,,,
2072.78,77.298,,,,
2072.78,77.382,,,,
2072.53,77.463,,,,
2072.15,77.545,,,,
2072.05,77.626,,,,
2072.27,77.707,,,,
2071.99,77.788,,,,
2071.99,77.87,,,,
2071.87,77.95,,,,
2071.88,78.034,,,,
2071.67,78.115,,,,
2071.28,78.196,,,,
2071.32,78.278,,,,
2071.32,78.359,,,,
2071.37,78.44,,,,
2071.24,78.521,,,,
2070.84,78.603,,,,
2070.82,78.686,,,,
2070.58,78.768,,,,
2070.61,78.849,,,,
2070.58,78.929,,,,
2070.43,79.01,,,,
2070.47,79.092,,,,
2070.29,79.173,,,,
2070.02,79.254,,,,
2069.87,79.338,,,,
2069.87,79.419,,,,
2069.8,79.5,,,,
2069.66,79.582,,,,
2069.69,79.663,,,,
2069.4,79.744,,,,
2069.1,79.824,,,,
2069.1,79.905,,,,
2069.03,79.989,,,,
2069.03,80.071,,,,
2068.64,80.152,,,,
2068.54,80.233,,,,
2068.38,80.314,,,,
2068.38,80.396,,,,
2068.19,80.477,,,,
2067.85,80.558,,,,
2067.67,80.638,,,,
2067.32,80.722,,,,
2067.5,80.803,,,,
2067.5,80.885,,,,
2067.27,80.966,,,,
2067.16,81.047,,,,
2066.97,81.128,,,,
2066.58,81.21,,,,
2066.55,81.291,,,,
2066.55,81.375,,,,
2066.64,81.456,,,,
2066.71,81.537,,,,
2066.28,81.617,,,,
2066.3,81.698,,,,
2065.97,81.78,,,,
2065.97,81.861,,,,
2065.82,81.942,,,,
2065.97,82.026,,,,
2065.7,82.107,,,,
2065.59,82.188,,,,
2065.39,82.269,,,,
2065.39,82.351,,,,
2064.99,82.432,,,,
2064.96,82.512,,,,
2064.69,82.594,,,,
2064.45,82.677,,,,
2064.47,82.759,,,,
2064.47,82.84,,,,
2064.2,82.921,,,,
2064.24,83.003,,,,
2063.86,83.084,,,,
2063.61,83.165,,,,
2063.72,83.246,,,,
2063.5,83.33,,,,
2063.5,83.41,,,,
2063.51,83.492,,,,
2063.43,83.573,,,,
2063.17,83.654,,,,
2062.75,83.735,,,,
2062.98,83.817,,,,
2062.98,83.898,,,,
2062.82,83.979,,,,
2062.51,84.063,,,,
2062.41,84.171,,,,
2062.32,84.279,,,,
2062.16,84.386,,,,
2061.76,84.494,,,,
2061.64,84.601,,,,
2061.43,84.709,,,,
2061.55,84.816,,,,
2061.26,84.93,,,,
2061.2,85.037,,,,
2060.89,85.142,,,,
2060.61,85.249,,,,
2060.5,85.354,,,,
2060.63,85.46,,,,
